Year,Presupuesto,Ingreso,Egreso,Superavit,Gobierno
2006,362.00,271.96,246.26,25.71,Arias
2007,422.50,370.84,336.46,34.38,Arias
2008,614.99,528.28,496.53,31.74,Arias
2009,724.97,560.72,537.45,23.28,Arias
2010,990.91,691.67,665.95,25.72,Chinchilla
2011,558.49,388.37,369.13,19.24,Chinchilla
2012,599.69,470.82,441.61,29.20,Chinchilla
2013,635.22,505.67,488.50,17.16,Chinchilla
2014,680.20,576.04,554.05,21.99,Solis
2015,625.79,547.93,504.20,43.73,Solis
2016,618.07,586.37,533.68,52.69,Solis
2017,638.29,639.34,598.88,40.46,Solis
2018,668.49,692.00,577.56,114.43,Alvarado
2019,684.35,716.86,632.55,84.31,Alvarado
